,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
14,-1.0,3.0,69.0,10920,2,-1,3,4,4,4,3,-1.0,7,7,5.0,8,6,5,1960,1960,3,7,9.0,9.0,4,212.0,3,3,5,4,4,2,5,733,0,520,1253,5,3,2,5,1253,0,0,1253,1,0,1,1,2,1,3,5,8,1,3,6,1960.0,3,1,352,4,4,3,0,213,176,0,0,0,-1,3,-1,0,5,2008,10,6,157000
15,-1.0,1.0,51.0,6120,2,-1,4,4,4,4,3,22.0,7,7,5.0,6,7,8,1929,2001,5,7,-1.0,-1.0,-1,0.0,3,3,6,4,4,2,2,0,0,832,832,5,5,2,4,854,0,0,854,0,0,1,0,2,1,3,5,8,0,-1,2,1991.0,2,2,576,4,4,3,48,112,0,0,0,0,-1,5,-1,0,7,2007,10,6,132000
16,-1.0,3.0,69.0,11241,2,-1,3,4,4,3,3,-1.0,7,7,5.0,8,6,7,1970,1970,5,7,-1.0,-1.0,4,180.0,3,3,5,4,4,2,6,578,0,426,1004,5,5,2,5,1004,0,0,1004,1,0,1,0,2,1,3,5,8,1,4,6,1970.0,4,2,480,4,4,3,0,0,0,0,0,0,-1,-1,3,700,3,2010,10,6,149000
17,-1.0,3.0,72.0,10791,2,-1,4,4,4,5,3,6.0,7,7,-1.0,8,4,5,1967,1967,5,7,9.0,9.0,-1,0.0,3,3,3,-1,-1,-1,-1,0,0,0,0,5,3,2,5,1296,0,0,1296,0,0,2,0,2,2,3,6,8,0,-1,3,1967.0,2,2,516,4,4,3,0,0,0,0,0,0,-1,-1,3,500,10,2006,10,6,90000
18,-1.0,3.0,66.0,13695,2,-1,4,4,4,5,3,5.0,1,7,5.0,8,5,5,2004,2004,5,7,3.0,3.0,-1,0.0,3,3,4,4,4,2,7,646,0,468,1114,5,5,2,5,1114,0,0,1114,1,0,1,1,3,1,4,6,8,0,-1,2,2004.0,2,2,576,4,4,3,0,102,0,0,0,0,-1,-1,-1,0,6,2008,10,6,159000
19,-1.0,3.0,70.0,7560,2,-1,4,4,4,5,3,-1.0,7,7,5.0,8,5,6,1958,1965,3,7,14.0,7.0,-1,0.0,3,3,5,4,4,2,3,504,0,525,1029,5,3,2,5,1339,0,0,1339,0,0,1,0,3,1,3,6,7,0,-1,6,1958.0,2,1,294,4,4,3,0,0,0,0,0,0,-1,4,-1,0,5,2009,6,5,139000
20,-1.0,3.0,101.0,14215,2,-1,3,4,4,4,3,10.0,7,7,5.0,5,8,5,2005,2006,5,7,3.0,3.0,4,380.0,4,3,4,6,4,4,2,0,0,1158,1158,5,5,2,5,1158,1218,0,2376,0,0,3,1,4,1,4,9,8,1,5,4,2005.0,3,3,853,4,4,3,240,154,0,0,0,0,-1,-1,-1,0,11,2006,7,1,325300
21,-1.0,1.0,57.0,7449,2,2,4,3,4,5,3,16.0,7,7,5.0,6,7,7,1930,1950,5,7,-1.0,-1.0,-1,0.0,3,3,4,4,4,2,2,0,0,637,637,5,5,2,3,1108,0,0,1108,0,0,1,0,3,1,4,6,8,1,5,6,1930.0,2,1,280,4,4,1,0,0,205,0,0,0,-1,5,-1,0,6,2007,10,6,139400
22,-1.0,3.0,75.0,9742,2,-1,4,4,4,5,3,20.0,7,7,5.0,8,8,5,2002,2002,3,7,3.0,3.0,4,281.0,4,3,4,5,4,2,2,0,0,1777,1777,5,5,2,5,1795,0,0,1795,0,0,2,0,3,1,4,7,8,1,5,6,2002.0,3,2,534,4,4,3,171,159,0,0,0,0,-1,-1,-1,0,9,2008,10,6,230000
23,-1.0,1.0,44.0,4224,2,-1,4,4,4,5,3,15.0,7,7,2.0,8,5,7,1976,1976,5,7,12.0,-1.0,-1,0.0,3,3,4,5,4,2,7,840,0,200,1040,5,3,2,5,1060,0,0,1060,1,0,1,0,3,1,3,6,8,1,4,6,1976.0,2,2,572,4,4,3,100,110,0,0,0,0,-1,-1,-1,0,6,2007,10,6,129900
24,-1.0,3.0,69.0,8246,2,-1,3,4,4,5,3,6.0,7,7,5.0,8,5,8,1968,2001,5,7,7.0,7.0,-1,0.0,3,4,5,4,4,3,4,188,668,204,1060,5,5,2,5,1060,0,0,1060,1,0,1,0,3,1,4,6,8,1,4,6,1968.0,2,1,270,4,4,3,406,90,0,0,0,0,-1,4,-1,0,5,2010,10,6,154000
25,-1.0,3.0,110.0,14230,2,-1,4,4,4,4,3,10.0,7,7,5.0,8,8,5,2007,2007,5,7,3.0,3.0,1,640.0,4,3,4,5,4,2,2,0,0,1566,1566,5,5,2,5,1600,0,0,1600,0,0,2,0,3,1,4,7,8,1,5,6,2007.0,3,3,890,4,4,3,0,56,0,0,0,0,-1,-1,-1,0,7,2009,10,6,256300
26,-1.0,3.0,60.0,7200,2,-1,4,4,4,4,3,-1.0,7,7,5.0,8,5,7,1951,2000,5,7,-1.0,-1.0,-1,0.0,3,3,5,4,4,3,5,234,486,180,900,5,3,2,5,900,0,0,900,0,1,1,0,3,1,4,5,8,0,-1,2,2005.0,2,2,576,4,4,3,222,32,0,0,0,0,-1,-1,-1,0,5,2010,10,6,134800
27,-1.0,3.0,98.0,11478,2,-1,4,4,4,5,3,10.0,7,7,5.0,8,8,5,2007,2008,5,7,3.0,3.0,1,200.0,4,3,4,6,4,2,7,1218,0,486,1704,5,5,2,5,1704,0,0,1704,1,0,2,0,3,1,4,7,8,1,5,6,2008.0,3,3,772,4,4,3,0,50,0,0,0,0,-1,-1,-1,0,5,2010,10,6,306000
28,-1.0,3.0,47.0,16321,2,-1,3,4,4,3,3,-1.0,7,7,5.0,8,5,6,1957,1997,5,7,9.0,9.0,-1,0.0,3,3,5,4,4,5,5,1277,0,207,1484,5,3,2,5,1600,0,0,1600,1,0,1,0,2,1,3,6,8,2,5,6,1957.0,3,1,319,4,4,3,288,258,0,0,0,0,-1,-1,-1,0,12,2006,10,6,207500
29,-1.0,1.0,60.0,6324,2,-1,3,4,4,5,3,22.0,8,6,5.0,8,4,6,1927,1950,5,7,9.0,9.0,-1,0.0,3,3,6,4,4,2,2,0,0,520,520,5,2,1,5,520,0,0,520,0,0,1,0,1,1,2,4,8,0,-1,2,1920.0,2,1,240,3,4,3,49,0,87,0,0,0,-1,-1,-1,0,5,2008,10,6,68500
30,-1.0,-1.0,50.0,8500,2,3,4,4,4,5,3,16.0,8,7,5.0,5,4,4,1920,1950,4,7,14.0,14.0,-1,0.0,3,2,6,4,4,2,2,0,0,649,649,5,3,1,5,649,668,0,1317,0,0,1,0,3,1,3,6,8,0,-1,2,1920.0,2,1,250,4,3,1,0,54,172,0,0,0,-1,4,-1,0,7,2008,10,6,40000
31,-1.0,3.0,69.0,8544,2,-1,3,4,4,3,3,6.0,7,7,5.0,8,5,6,1966,2006,5,7,11.0,11.0,-1,0.0,3,3,5,4,4,2,2,0,0,1228,1228,5,4,2,5,1228,0,0,1228,0,0,1,1,3,1,4,6,8,0,-1,6,1966.0,2,1,271,4,4,3,0,65,0,0,0,0,-1,4,-1,0,6,2008,10,6,149350
32,-1.0,3.0,85.0,11049,2,-1,4,4,4,4,3,20.0,7,7,5.0,8,8,5,2007,2007,5,7,3.0,3.0,-1,0.0,4,3,4,6,4,4,2,0,0,1234,1234,5,5,2,5,1234,0,0,1234,0,0,2,0,3,1,4,7,8,0,-1,6,2007.0,3,2,484,4,4,3,0,30,0,0,0,0,-1,-1,-1,0,1,2008,10,6,179900
33,-1.0,3.0,70.0,10552,2,-1,3,4,4,5,3,-1.0,7,7,5.0,8,5,5,1959,1959,3,7,14.0,14.0,-1,0.0,3,3,5,4,4,2,4,1018,0,380,1398,5,4,2,5,1700,0,0,1700,0,1,1,1,4,1,4,6,8,1,5,6,1959.0,3,2,447,4,4,3,0,38,0,0,0,0,-1,-1,-1,0,4,2010,10,6,165500
34,-1.0,3.0,60.0,7313,2,-1,4,4,4,5,3,10.0,7,7,2.0,8,9,5,2005,2005,3,7,9.0,9.0,4,246.0,5,3,4,6,4,2,7,1153,0,408,1561,5,5,2,5,1561,0,0,1561,1,0,2,0,2,1,5,6,8,1,5,6,2005.0,4,2,556,4,4,3,203,47,0,0,0,0,-1,-1,-1,0,8,2007,10,6,277500
35,-1.0,3.0,108.0,13418,2,-1,4,4,4,5,3,10.0,7,7,5.0,5,8,5,2004,2005,5,7,3.0,3.0,1,132.0,4,3,4,6,4,4,2,0,0,1117,1117,5,5,2,5,1132,1320,0,2452,0,0,3,1,4,1,4,9,8,1,5,4,2004.0,4,3,691,4,4,3,113,32,0,0,0,0,-1,-1,-1,0,9,2006,10,6,309000
36,-1.0,3.0,112.0,10859,2,-1,4,4,4,4,3,20.0,7,7,5.0,8,5,5,1994,1995,5,7,3.0,3.0,-1,0.0,3,3,4,5,4,2,2,0,0,1097,1097,5,5,2,5,1097,0,0,1097,0,0,1,1,3,1,3,6,8,0,-1,6,1995.0,2,2,672,4,4,3,392,64,0,0,0,0,-1,-1,-1,0,6,2009,10,6,145000
37,-1.0,3.0,74.0,8532,2,-1,4,4,4,5,3,-1.0,7,7,5.0,8,5,6,1954,1990,3,7,-1.0,-1.0,4,650.0,3,3,5,4,4,2,4,1213,0,84,1297,5,4,2,5,1297,0,0,1297,0,1,1,0,3,1,3,5,8,1,4,6,1954.0,4,2,498,4,4,3,0,0,0,0,0,0,-1,-1,-1,0,10,2009,10,6,153000
38,-1.0,3.0,68.0,7922,2,-1,4,4,4,5,3,-1.0,7,7,5.0,8,5,7,1953,2007,5,7,3.0,3.0,-1,0.0,3,4,5,4,4,2,7,731,0,326,1057,5,3,2,5,1057,0,0,1057,1,0,1,0,3,1,4,5,8,0,-1,2,1953.0,2,1,246,4,4,3,0,52,0,0,0,0,-1,-1,-1,0,1,2010,10,5,109000
39,-1.0,3.0,65.0,6040,2,-1,4,4,4,5,3,18.0,7,7,-1.0,8,4,5,1955,1955,5,7,17.0,7.0,-1,0.0,3,3,4,-1,-1,-1,-1,0,0,0,0,5,3,1,2,1152,0,0,1152,0,0,2,0,2,2,2,6,8,0,-1,-1,1980.0,-1,0,0,-1,-1,1,0,0,0,0,0,0,-1,-1,-1,0,6,2008,10,4,82000
40,-1.0,3.0,84.0,8658,2,-1,4,4,4,5,3,-1.0,7,7,5.0,8,6,5,1965,1965,5,7,-1.0,-1.0,4,101.0,3,3,5,4,4,2,4,643,0,445,1088,5,5,2,5,1324,0,0,1324,0,0,2,0,3,1,3,6,8,1,4,6,1965.0,3,2,440,4,4,3,0,138,0,0,0,0,-1,3,-1,0,12,2006,10,5,160000
41,-1.0,3.0,115.0,16905,2,-1,4,4,4,5,3,2.0,7,7,5.0,8,5,6,1959,1959,5,7,3.0,3.0,-1,0.0,3,4,5,4,4,5,5,967,0,383,1350,5,4,2,5,1328,0,0,1328,0,1,1,1,2,1,3,5,8,2,5,6,1959.0,3,1,308,4,4,2,0,104,0,0,0,0,-1,-1,-1,0,7,2007,10,6,170000
42,-1.0,3.0,69.0,9180,2,-1,3,4,4,3,3,5.0,7,7,5.0,2,5,7,1983,1983,5,7,11.0,11.0,-1,0.0,3,3,5,5,4,4,6,747,93,0,840,5,4,2,5,884,0,0,884,1,0,1,0,2,1,4,5,8,0,-1,6,1983.0,3,2,504,4,5,3,240,0,0,0,0,0,-1,4,-1,0,12,2007,10,6,144000
43,-1.0,3.0,69.0,9200,2,-1,3,4,4,3,3,20.0,7,7,5.0,8,5,6,1975,1980,3,7,3.0,3.0,-1,0.0,3,3,5,5,4,4,3,280,491,167,938,5,3,2,5,938,0,0,938,1,0,1,0,3,1,3,5,8,0,-1,2,1977.0,2,1,308,4,4,3,145,0,0,0,0,0,-1,4,-1,0,7,2008,10,6,130250
44,-1.0,3.0,70.0,7945,2,-1,4,4,4,5,3,-1.0,7,7,5.0,8,5,6,1959,1959,5,7,14.0,-1.0,-1,0.0,3,3,5,4,4,2,6,179,506,465,1150,5,5,2,4,1150,0,0,1150,1,0,1,0,3,1,3,6,8,0,-1,6,1959.0,3,1,300,4,4,3,0,0,0,0,0,0,-1,-1,-1,0,5,2006,10,6,141000
45,-1.0,3.0,61.0,7658,2,-1,4,4,4,5,3,10.0,7,7,2.0,8,9,5,2005,2005,3,7,9.0,9.0,4,412.0,5,3,4,6,4,2,7,456,0,1296,1752,5,5,2,5,1752,0,0,1752,1,0,2,0,2,1,5,6,8,1,5,6,2005.0,3,2,576,4,4,3,196,82,0,0,0,0,-1,-1,-1,0,2,2010,10,6,319900
46,-1.0,3.0,48.0,12822,2,-1,3,4,4,3,3,14.0,7,7,5.0,7,7,5,2003,2003,5,7,3.0,3.0,-1,0.0,4,3,4,6,4,2,7,1351,0,83,1434,5,5,2,5,1518,631,0,2149,1,0,1,1,1,1,4,6,8,1,6,6,2003.0,3,2,670,4,4,3,168,43,0,0,198,0,-1,-1,-1,0,8,2009,10,5,239686
47,-1.0,6.0,84.0,11096,2,-1,4,4,4,5,3,4.0,7,7,5.0,8,8,5,2006,2006,5,7,3.0,3.0,-1,0.0,4,3,4,5,4,4,7,24,0,1632,1656,5,5,2,5,1656,0,0,1656,0,0,2,0,3,1,4,7,8,0,-1,6,2006.0,3,3,826,4,4,3,0,146,0,0,0,0,-1,-1,-1,0,7,2007,10,6,249700
48,-1.0,1.0,33.0,4456,2,-1,4,4,4,5,3,8.0,7,7,-1.0,5,4,5,1920,2008,5,7,9.0,9.0,-1,0.0,3,3,6,4,4,2,2,0,0,736,736,5,4,2,5,736,716,0,1452,0,0,2,0,2,3,3,8,8,0,-1,-1,1980.0,-1,0,0,-1,-1,1,0,0,102,0,0,0,-1,-1,-1,0,6,2009,7,1,113000
49,-1.0,3.0,66.0,7742,2,-1,4,4,4,5,3,6.0,7,7,5.0,8,5,7,1966,1966,5,7,11.0,11.0,-1,0.0,3,3,5,4,4,2,5,763,0,192,955,5,5,2,5,955,0,0,955,1,0,1,0,3,1,3,6,8,0,-1,6,1966.0,2,1,386,4,4,3,0,0,0,0,0,0,-1,4,-1,0,1,2007,10,6,127000
50,-1.0,3.0,69.0,13869,2,-1,2,4,4,4,3,17.0,7,7,5.0,5,6,6,1997,1997,5,7,3.0,3.0,-1,0.0,3,3,4,5,4,4,7,182,0,612,794,5,4,2,5,794,676,0,1470,0,1,2,0,3,1,3,6,8,0,-1,6,1997.0,4,2,388,4,4,3,0,75,0,0,0,0,-1,-1,-1,0,7,2007,10,6,177000
51,-1.0,1.0,52.0,6240,2,-1,4,4,4,5,3,22.0,7,7,5.0,7,6,6,1934,1950,5,7,-1.0,-1.0,-1,0.0,3,3,4,4,4,2,2,0,0,816,816,5,3,2,5,816,0,360,1176,0,0,1,0,3,1,3,6,8,1,5,2,1985.0,2,2,528,4,4,3,112,0,0,0,0,0,-1,4,3,400,9,2006,10,6,114500
52,-1.0,1.0,110.0,8472,1,-1,2,3,4,4,2,16.0,6,7,-1.0,8,5,5,1963,1963,5,7,-1.0,-1.0,-1,0.0,2,3,5,5,4,5,3,104,712,0,816,5,3,1,5,816,0,0,816,1,0,1,0,2,1,3,5,8,0,-1,3,1963.0,2,2,516,4,4,3,106,0,0,0,0,0,-1,-1,-1,0,5,2010,10,6,110000
53,-1.0,3.0,68.0,50271,2,-1,3,1,4,5,3,1.0,7,7,5.0,8,9,5,1981,1987,5,1,1.0,-1.0,-1,0.0,4,3,5,6,4,5,7,1810,0,32,1842,5,4,2,5,1842,0,0,1842,2,0,0,1,0,1,4,5,8,1,5,6,1981.0,4,3,894,4,4,3,857,72,0,0,0,0,-1,-1,-1,0,11,2006,10,6,385000
54,-1.0,3.0,60.0,7134,2,-1,4,3,4,5,2,-1.0,7,7,5.0,1,5,5,1955,1955,5,7,9.0,9.0,-1,0.0,3,3,5,4,4,2,6,384,0,0,384,5,3,2,5,1360,0,0,1360,0,0,1,0,3,1,3,6,7,1,4,2,1962.0,2,2,572,4,4,3,0,50,0,0,0,0,-1,4,-1,0,2,2007,10,6,130000
55,-1.0,3.0,100.0,10175,2,-1,3,4,4,5,3,-1.0,7,7,5.0,8,6,5,1964,1964,5,7,11.0,7.0,4,272.0,3,3,5,4,4,2,5,490,0,935,1425,5,4,2,5,1425,0,0,1425,0,0,2,0,3,1,3,7,8,1,5,6,1964.0,3,2,576,4,4,3,0,0,0,407,0,0,-1,-1,-1,0,7,2008,10,6,180500
56,-1.0,6.0,24.0,2645,2,3,4,4,4,5,3,4.0,7,7,-1.0,5,8,5,1999,2000,5,7,9.0,9.0,4,456.0,4,3,4,5,4,2,7,649,0,321,970,5,5,2,5,983,756,0,1739,1,0,2,1,3,1,4,7,8,0,-1,6,1999.0,4,2,480,4,4,3,115,0,0,0,0,0,-1,-1,-1,0,8,2009,10,5,172500
57,-1.0,3.0,89.0,11645,2,-1,3,4,4,4,3,20.0,7,7,5.0,5,7,5,2004,2004,5,7,3.0,3.0,-1,0.0,4,3,4,5,4,2,2,0,0,860,860,5,5,2,5,860,860,0,1720,0,0,2,1,3,1,4,7,8,0,-1,6,2004.0,3,2,565,4,4,3,0,70,0,0,0,0,-1,-1,-1,0,8,2006,10,6,196500
58,-1.0,3.0,66.0,13682,2,-1,2,2,4,3,3,3.0,7,7,5.0,5,10,5,2006,2006,3,7,3.0,3.0,4,1031.0,5,3,4,6,4,5,2,0,0,1410,1410,5,5,2,5,1426,1519,0,2945,0,0,3,1,3,1,4,10,8,1,5,4,2006.0,4,3,641,4,4,3,192,0,37,0,0,0,-1,-1,-1,0,10,2006,7,1,438780
59,-1.0,3.0,60.0,7200,2,-1,4,3,4,5,3,20.0,7,7,5.0,8,5,7,1972,1972,5,7,11.0,11.0,-1,0.0,3,3,5,4,4,4,6,632,0,148,780,5,5,2,5,780,0,0,780,0,0,1,0,2,1,3,4,8,0,-1,2,1973.0,2,1,352,4,4,3,196,0,0,0,0,0,-1,4,-1,0,1,2008,10,6,124900
60,-1.0,3.0,63.0,13072,2,-1,4,4,4,5,3,5.0,1,7,5.0,8,6,5,2004,2004,5,7,3.0,3.0,-1,0.0,3,3,4,5,4,2,6,941,0,217,1158,5,5,2,5,1158,0,0,1158,1,0,1,1,3,1,4,5,8,0,-1,2,2006.0,2,2,576,4,4,3,0,50,0,0,0,0,-1,-1,-1,0,5,2006,7,1,158000
61,-1.0,1.0,60.0,7200,2,-1,4,4,4,5,3,16.0,7,7,5.0,3,5,7,1920,1996,5,7,9.0,9.0,-1,0.0,3,3,6,4,3,2,2,0,0,530,530,5,3,1,5,581,530,0,1111,0,0,1,0,3,1,2,6,8,0,-1,2,1935.0,2,1,288,4,4,1,0,0,144,0,0,0,-1,-1,-1,0,3,2007,10,6,101000
62,-1.0,3.0,44.0,6442,2,-1,3,4,4,5,3,10.0,7,7,2.0,8,8,5,2006,2006,5,7,3.0,3.0,1,178.0,4,3,4,5,5,3,7,24,0,1346,1370,5,5,2,5,1370,0,0,1370,0,0,2,0,2,1,4,6,8,1,5,6,2006.0,3,2,484,4,4,3,120,49,0,0,0,0,-1,-1,-1,0,10,2007,10,6,202500
63,-1.0,1.0,50.0,10300,2,-1,3,3,4,5,3,8.0,5,8,5.0,5,7,6,1921,1950,5,7,4.0,4.0,-1,0.0,3,3,6,4,4,2,2,0,0,576,576,5,4,2,5,902,808,0,1710,0,0,2,0,3,1,3,9,8,0,-1,2,1990.0,2,2,480,4,4,3,12,11,64,0,0,0,-1,5,-1,0,4,2010,10,6,140000
64,-1.0,3.0,69.0,9375,2,-1,4,4,4,5,3,20.0,7,7,5.0,5,7,5,1997,1998,5,7,3.0,3.0,4,573.0,3,3,4,5,4,2,7,739,0,318,1057,5,5,2,5,1057,977,0,2034,1,0,2,1,3,1,4,8,8,0,-1,6,1998.0,3,2,645,4,4,3,576,36,0,0,0,0,-1,5,-1,0,2,2009,10,6,219500
65,-1.0,3.0,76.0,9591,2,-1,4,4,4,5,3,10.0,7,7,5.0,5,8,5,2004,2005,5,7,3.0,3.0,4,344.0,4,3,4,6,4,4,2,0,0,1143,1143,5,5,2,5,1143,1330,0,2473,0,0,2,1,4,1,4,9,8,1,5,4,2004.0,3,3,852,4,4,3,192,151,0,0,0,0,-1,-1,-1,0,10,2007,10,6,317000
